cohort,score_key,layer,condition_token_mean,condition_token_max,full_token_max,full_token_topk_mean,full_token_mean,num_units
multiple_sclerosis,rewrite_scores,1,0.0026640238300446543,0.0026640238300446543,0.00685882520291113,0.0025457126799450125,0.0008129005950809219,31
multiple_sclerosis,rewrite_scores,2,0.007211825059306237,0.007211825059306237,0.9998739919354839,0.3619784521800216,0.10631976752957543,31
multiple_sclerosis,rewrite_scores,3,0.042877289556687875,0.042877289556687875,0.0656157462827621,0.006456939667783758,0.001772993356670401,31
multiple_sclerosis,rewrite_scores,4,0.003044159181656376,0.003044159181656376,0.016015391195974043,0.0028130614629355813,0.0009232215298756486,31
multiple_sclerosis,rewrite_scores,5,0.00996933973604633,0.00996933973604633,0.010784352498669778,0.0027890433226862256,0.0008592711794565435,31
multiple_sclerosis,rewrite_scores,6,0.0181459822962361,0.0181459822962361,0.061805561665565736,0.008825829721266224,0.002700195853695184,31
multiple_sclerosis,rewrite_scores,7,0.2669937995172316,0.2669937995172316,0.35497357768397175,0.034544414313890597,0.010229201137646202,31
multiple_sclerosis,rewrite_scores,8,0.006966392359425945,0.006966392359425945,0.016095792574267232,0.003143367331515076,0.0008899759490343464,31
multiple_sclerosis,rewrite_scores,9,-0.0002066711744954509,-0.0002066711744954509,0.0107778339616714,0.0019195995343628753,0.0004892660631564985,31
multiple_sclerosis,rewrite_scores,10,0.003330280703883017,0.003330280703883017,0.012684554822983281,0.0031751158737367197,0.0010011608099631459,31
multiple_sclerosis,rewrite_scores,11,0.002619106082185622,0.002619106082185622,0.004616732078213845,0.0014865779748526953,0.00034233703651047255,31
multiple_sclerosis,rewrite_scores,12,0.01038672318381648,0.01038672318381648,0.05157746951426229,0.005940175857595218,0.0018033550725064368,31
multiple_sclerosis,rewrite_scores,13,0.01413649320602417,0.01413649320602417,0.02582472562789917,0.0033133887795991795,0.0010021473203069714,31
multiple_sclerosis,rewrite_scores,14,4.9953979830588066e-05,4.9953979830588066e-05,0.02933860594226468,0.00378712845104997,0.0012222058626511691,31
multiple_sclerosis,rewrite_scores,15,0.0019526500855722734,0.0019526500855722734,0.00991349595208322,0.0018406165543422904,0.0005206455121793923,31
multiple_sclerosis,rewrite_scores,16,-0.0007571438627858315,-0.0007571438627858315,0.0040320114743325015,0.0011946373088385473,0.0003302464841356937,31
multiple_sclerosis,rewrite_scores,17,-0.0007994400878106394,-0.0007994400878106394,0.05499300264543103,0.005156642583108718,0.0015250815105686405,31
multiple_sclerosis,rewrite_scores,18,0.23939089621267012,0.23939089621267012,0.3395270070722026,0.047046389759227786,0.014298300765272534,31
multiple_sclerosis,rewrite_scores,19,0.038444634406797344,0.038444634406797344,0.13210887293661794,0.019832662420888103,0.006104794847873895,31
multiple_sclerosis,rewrite_scores,20,-0.0012083769805969731,-0.0012083769805969731,0.017512482981528004,0.001418525525318679,0.00021331611610664707,31
multiple_sclerosis,rewrite_scores,21,0.0115255598099001,0.0115255598099001,0.15785561838457662,0.011916072169939677,0.003593941823677072,31
multiple_sclerosis,rewrite_scores,22,-0.0001526751345203769,-0.0001526751345203769,0.0003848075866699219,0.00017209469631154051,-2.8771447958520758e-05,31
multiple_sclerosis,rewrite_scores,23,7.109440142108548e-05,7.109440142108548e-05,0.0015053479902205928,0.00029561583713818613,8.119959600716342e-05,31
multiple_sclerosis,rewrite_scores,24,6.271177722561745e-05,6.271177722561745e-05,0.00329948817529986,0.00041125679528841404,0.00011565412422196208,31
multiple_sclerosis,rewrite_scores,25,9.259869975428427e-06,9.259869975428427e-06,0.00037602263112221997,0.00018608903372159568,4.860857625784961e-05,31
multiple_sclerosis,rewrite_scores,26,5.4711295712378716e-05,5.4711295712378716e-05,0.020678612493699598,0.0014974167910955288,0.0004355409903040759,31
multiple_sclerosis,rewrite_scores,27,0.0,0.0,0.011151283018050654,0.0007434188678700437,0.00022434024232894425,31
rheumatoid_arthritis,rewrite_scores,0,0.0011573537222800715,0.0011573537222800715,1.0,0.982700667842742,0.4705530117037089,31
rheumatoid_arthritis,rewrite_scores,1,3.667319974591655e-05,3.667319974591655e-05,0.0012328573051960238,0.0001496539120712588,2.5271479869278797e-05,31
rheumatoid_arthritis,rewrite_scores,2,0.010276027264133576,0.010276027264133576,1.0,0.3281720869643714,0.09221771732493649,31
rheumatoid_arthritis,rewrite_scores,3,4.5272972314588486e-05,4.5272972314588486e-05,0.001459326474897323,0.00018621520089205876,3.2950665234713975e-05,31
rheumatoid_arthritis,rewrite_scores,4,0.0002616496696587532,0.0002616496696587532,0.0032872890512789447,0.00030410641063285124,7.475603818308012e-05,31
rheumatoid_arthritis,rewrite_scores,5,9.089546097863106e-05,9.089546097863106e-05,0.00021767057478427887,7.806788449005412e-05,1.0938744551003565e-05,31
rheumatoid_arthritis,rewrite_scores,6,0.00023325015940973834,0.00023325015940973834,0.00570067354748326,0.0005821584934188474,0.00016054077046877976,31
rheumatoid_arthritis,rewrite_scores,7,0.0010802743415678701,0.0010802743415678701,0.05814292738514562,0.004351303357911367,0.0012272476882767916,31
rheumatoid_arthritis,rewrite_scores,8,0.00018026655720126245,0.00018026655720126245,0.0011169072841444323,0.0001771733124730408,3.900197591259277e-05,31
rheumatoid_arthritis,rewrite_scores,9,-2.8114886053146854e-05,-2.8114886053146854e-05,0.00036108121275901794,8.850543889948114e-05,9.34270597650326e-06,31
