condition,prompt_id,cot_label,num_tokens,l18_mean,l18_median,l18_topk_mean,l18_trimmed_mean
multiple_sclerosis,5,A_var5,207,0.0022615257668610355,0.0,0.01586736043294271,-1.5235946563903443e-05
multiple_sclerosis,6,A_var6,203,0.004712785993303571,0.002105712890625,0.026833089192708333,0.0012650753091449387
multiple_sclerosis,7,A_var7,209,0.0004102533513849432,5.14984130859375e-05,0.002633349100748698,4.972649749214127e-05
multiple_sclerosis,8,A_var8,208,0.0010772301600529598,0.0,0.007899220784505208,-4.087175641741071e-05
multiple_sclerosis,9,A_var9,211,0.0014831036752999112,-0.0001983642578125,0.01138458251953125,-0.00012125771426590237
multiple_sclerosis,10,A_var10,212,0.0018369206842386498,0.0003204345703125,0.011648305257161458,0.0002900965073529412
multiple_sclerosis,11,C_var1,201,0.0019842688717059236,0.000118255615234375,0.012857182820638021,0.00010700107361218944
multiple_sclerosis,12,C_var2,204,0.0023371565575693166,0.0,0.016054280598958335,3.163407488567073e-05
multiple_sclerosis,13,C_var3,203,0.0028796172494371538,0.0,0.01935857137044271,4.292119500095859e-05
multiple_sclerosis,14,C_var4,203,0.0026185265902815193,5.7220458984375e-05,0.017509841918945314,5.16037268141296e-05
multiple_sclerosis,15,C_var5,200,0.00635650634765625,0.0,0.056341552734375,-0.0016155242919921875
multiple_sclerosis,16,C_var6,203,0.0025111607142857145,0.0,0.017645263671875,-3.327913810870399e-05
multiple_sclerosis,17,C_var7,206,0.003320703228700508,0.0,0.022620391845703126,0.00015477100050592996
multiple_sclerosis,18,C_var8,203,0.0017433236972451797,-2.384185791015625e-05,0.011994330088297527,-2.7001269755919287e-05
multiple_sclerosis,19,C_var9,209,0.003609018462696714,0.0,0.029553985595703124,-0.0004728136683356832
multiple_sclerosis,20,C_var10,203,0.0018710526339526248,-5.14984130859375e-05,0.012862650553385417,-2.034895259178489e-05
rheumatoid_arthritis,1,A_var1,212,0.00012260338045516105,6.67572021484375e-06,0.0008364200592041015,6.193273207720588e-06
rheumatoid_arthritis,2,A_var2,209,0.00031770587537847635,0.0,0.0023822784423828125,-1.6206820335613905e-05
rheumatoid_arthritis,3,A_var3,208,0.00035544542165902944,0.0,0.0023288726806640625,4.021326700846354e-05
rheumatoid_arthritis,4,A_var4,218,0.000446192715146126,0.0,0.0032138824462890625,1.2191859158602627e-05
rheumatoid_arthritis,5,A_var5,213,0.0010125424380593457,0.0,0.006916427612304687,7.198846828170687e-05
rheumatoid_arthritis,6,A_var6,207,0.005372273173309179,0.0,0.05262044270833333,-0.001233129444236527
rheumatoid_arthritis,7,A_var7,215,0.00023795726687409158,0.0,0.0018149693806966147,-1.047387977555997e-05
rheumatoid_arthritis,8,A_var8,214,0.00039591744681385075,0.0,0.002808380126953125,1.3806099115416061e-05
rheumatoid_arthritis,9,A_var9,217,0.000690389888077837,0.0,0.005017979939778646,2.389090401785714e-05
rheumatoid_arthritis,10,A_var10,218,0.0005861334844466744,0.0,0.004040145874023437,5.696036598899148e-05
rheumatoid_arthritis,11,C_var1,207,0.00023034920439052122,0.0,0.001560211181640625,8.348933237041543e-06
