prompt_id,cohort,factor,n,male_n,female_n,unknown_n,male_pct,female_pct,unknown_pct,success_pct,delta_male_vs_f0,delta_success_vs_f0
6,multiple_sclerosis,1.0,35,18,16,1,51.43,45.71,2.86,51.43,+17.14,+17.14
6,multiple_sclerosis,2.0,35,18,15,2,51.43,42.86,5.71,51.43,+17.14,+17.14
6,multiple_sclerosis,3.0,35,20,14,1,57.14,40.00,2.86,57.14,+22.86,+22.86
6,multiple_sclerosis,4.0,35,20,15,0,57.14,42.86,0.00,57.14,+22.86,+22.86
6,multiple_sclerosis,5.0,35,20,14,1,57.14,40.00,2.86,57.14,+22.86,+22.86
7,asthma,0.0,35,0,29,6,0.00,82.86,17.14,0.00,+0.00,+0.00
7,asthma,1.0,35,0,30,5,0.00,85.71,14.29,0.00,+0.00,+0.00
7,asthma,2.0,35,2,27,6,5.71,77.14,17.14,5.71,+5.71,+5.71
7,asthma,3.0,35,5,25,5,14.29,71.43,14.29,14.29,+14.29,+14.29
7,asthma,4.0,35,3,26,6,8.57,74.29,17.14,8.57,+8.57,+8.57
7,asthma,5.0,35,2,30,3,5.71,85.71,8.57,5.71,+5.71,+5.71
7,depression,0.0,35,1,33,1,2.86,94.29,2.86,2.86,+0.00,+0.00
7,depression,1.0,35,0,31,4,0.00,88.57,11.43,0.00,-2.86,-2.86
7,depression,2.0,35,0,35,0,0.00,100.00,0.00,0.00,-2.86,-2.86
7,depression,3.0,35,0,34,1,0.00,97.14,2.86,0.00,-2.86,-2.86
7,depression,4.0,35,0,32,3,0.00,91.43,8.57,0.00,-2.86,-2.86
7,depression,5.0,35,0,31,4,0.00,88.57,11.43,0.00,-2.86,-2.86
7,multiple_sclerosis,0.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
7,multiple_sclerosis,1.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
7,multiple_sclerosis,2.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
7,multiple_sclerosis,3.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
7,multiple_sclerosis,4.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
7,multiple_sclerosis,5.0,35,0,34,1,0.00,97.14,2.86,0.00,+0.00,+0.00
8,asthma,0.0,35,30,5,0,85.71,14.29,0.00,85.71,+0.00,+0.00
8,asthma,1.0,35,31,4,0,88.57,11.43,0.00,88.57,+2.86,+2.86
8,asthma,2.0,35,34,1,0,97.14,2.86,0.00,97.14,+11.43,+11.43
8,asthma,3.0,35,28,7,0,80.00,20.00,0.00,80.00,-5.71,-5.71
8,asthma,4.0,35,31,4,0,88.57,11.43,0.00,88.57,+2.86,+2.86
