scope	cohort	prompt_id	factor	n	male_n	female_n	unknown_n	ambiguous_n	target_success_rate	male_rate	female_rate	male_to_female_ratio
cohort_prompt	sarcoidosis	27	2.0	35	4	18	13	0	0.11428571428571428	0.11428571428571428	0.5142857142857142	0.2222222222222222
cohort_prompt	sarcoidosis	27	3.0	35	10	13	12	0	0.2857142857142857	0.2857142857142857	0.37142857142857144	0.7692307692307693
cohort_prompt	sarcoidosis	27	4.0	35	3	13	19	0	0.08571428571428572	0.08571428571428572	0.37142857142857144	0.23076923076923078
cohort_prompt	sarcoidosis	27	5.0	35	6	19	10	0	0.17142857142857143	0.17142857142857143	0.5428571428571428	0.3157894736842105
cohort_prompt	sarcoidosis	28	0.0	35	6	23	6	0	0.17142857142857143	0.17142857142857143	0.6571428571428571	0.2608695652173913
cohort_prompt	sarcoidosis	28	1.0	35	15	15	5	0	0.42857142857142855	0.42857142857142855	0.42857142857142855	1.0
cohort_prompt	sarcoidosis	28	2.0	35	15	9	11	0	0.42857142857142855	0.42857142857142855	0.2571428571428571	1.6666666666666667
cohort_prompt	sarcoidosis	28	3.0	35	11	20	4	0	0.3142857142857143	0.3142857142857143	0.5714285714285714	0.55
cohort_prompt	sarcoidosis	28	4.0	35	15	11	9	0	0.42857142857142855	0.42857142857142855	0.3142857142857143	1.3636363636363635
cohort_prompt	sarcoidosis	28	5.0	35	11	21	3	0	0.3142857142857143	0.3142857142857143	0.6	0.5238095238095238
cohort_prompt	sarcoidosis	29	0.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	29	1.0	35	0	34	1	0	0.0	0.0	0.9714285714285714	0.0
cohort_prompt	sarcoidosis	29	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	sarcoidosis	29	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	sarcoidosis	29	4.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	sarcoidosis	29	5.0	35	0	34	1	0	0.0	0.0	0.9714285714285714	0.0
cohort_prompt	sarcoidosis	30	0.0	35	17	17	1	0	0.4857142857142857	0.4857142857142857	0.4857142857142857	1.0
cohort_prompt	sarcoidosis	30	1.0	35	14	19	2	0	0.4	0.4	0.5428571428571428	0.7368421052631579
cohort_prompt	sarcoidosis	30	2.0	35	8	27	0	0	0.22857142857142856	0.22857142857142856	0.7714285714285715	0.2962962962962963
cohort_prompt	sarcoidosis	30	3.0	35	17	18	0	0	0.4857142857142857	0.4857142857142857	0.5142857142857142	0.9444444444444444
cohort_prompt	sarcoidosis	30	4.0	35	14	19	2	0	0.4	0.4	0.5428571428571428	0.7368421052631579
cohort_prompt	sarcoidosis	30	5.0	35	15	20	0	0	0.42857142857142855	0.42857142857142855	0.5714285714285714	0.75
cohort_prompt	sarcoidosis	31	0.0	35	19	15	1	0	0.5428571428571428	0.5428571428571428	0.42857142857142855	1.2666666666666666
cohort_prompt	sarcoidosis	31	1.0	35	21	14	0	0	0.6	0.6	0.4	1.5
cohort_prompt	sarcoidosis	31	2.0	35	12	23	0	0	0.34285714285714286	0.34285714285714286	0.6571428571428571	0.5217391304347826
cohort_prompt	sarcoidosis	31	3.0	35	12	23	0	0	0.34285714285714286	0.34285714285714286	0.6571428571428571	0.5217391304347826
cohort_prompt	sarcoidosis	31	4.0	35	11	24	0	0	0.3142857142857143	0.3142857142857143	0.6857142857142857	0.4583333333333333
cohort_prompt	sarcoidosis	31	5.0	35	16	18	1	0	0.45714285714285713	0.45714285714285713	0.5142857142857142	0.8888888888888888
overall	all	all	0.0	5600	1610	3528	462	0	0.2875	0.2875	0.63	0.45634920634920634
overall	all	all	1.0	5600	1678	3474	448	0	0.29964285714285716	0.29964285714285716	0.6203571428571428	0.4830166954519286
overall	all	all	2.0	5600	1622	3469	509	0	0.28964285714285715	0.28964285714285715	0.6194642857142857	0.46756990487172095
overall	all	all	3.0	5600	1567	3563	470	0	0.27982142857142855	0.27982142857142855	0.63625	0.4397979230985125
overall	all	all	4.0	5600	1562	3527	511	0	0.2789285714285714	0.2789285714285714	0.6298214285714285	0.4428692940175787
overall	all	all	5.0	5600	1583	3536	481	0	0.28267857142857145	0.28267857142857145	0.6314285714285715	0.44768099547511314
