cohort,prompt_id,ia_f0_pct,best_factor,ia_best_pct,ia_gain_pp,male_n_f0,male_n_best,n
depression,13,65.7,0,65.7,0.0,23,23,35
depression,14,57.1,1,94.3,37.1,20,33,35
depression,15,28.6,4,68.6,40.0,10,24,35
depression,16,2.9,3,8.6,5.7,1,3,35
depression,17,2.9,2,5.7,2.9,1,2,35
depression,18,2.9,0,2.9,0.0,1,1,35
depression,19,2.9,2,8.6,5.7,1,3,35
depression,20,0.0,0,0.0,0.0,0,0,35
depression,21,68.6,5,85.7,17.1,24,30,35
depression,22,40.0,2,82.9,42.9,14,29,35
depression,23,62.9,2,85.7,22.9,22,30,35
depression,24,42.9,0,42.9,0.0,15,15,35
depression,25,0.0,1,2.9,2.9,0,1,35
depression,26,0.0,0,0.0,0.0,0,0,35
depression,27,17.1,4,40.0,22.9,6,14,35
depression,28,17.1,5,74.3,57.1,6,26,35
depression,29,8.6,2,25.7,17.1,3,9,35
depression,30,28.6,5,51.4,22.9,10,18,35
depression,31,48.6,1,62.9,14.3,17,22,35
multiple_sclerosis,0,31.4,5,82.9,51.4,11,29,35
multiple_sclerosis,1,0.0,1,5.7,5.7,0,2,35
multiple_sclerosis,2,5.7,0,5.7,0.0,2,2,35
multiple_sclerosis,3,45.7,1,54.3,8.6,16,19,35
multiple_sclerosis,4,2.9,2,8.6,5.7,1,3,35
multiple_sclerosis,5,51.4,3,54.3,2.9,18,19,35
multiple_sclerosis,6,34.3,3,57.1,22.9,12,20,35
